2.309342,48.886981;2.529897,48.634849;2.340905,48.742606;2.119377,49.031074;2.411656,48.741144;2.244273,48.759099;2.823887,48.955107;2.153816,48.827511;2.277603,48.893386;2.053939,48.738709;2.512588,48.850092;2.114980,49.038857;2.775136,48.902656;2.516178,48.785046;2.158525,48.988473;2.008557,48.794581;2.274749,48.834369;2.185268,48.931296;2.157185,49.049949;2.413294,48.603052;2.443556,48.734837;2.893117,49.002405;2.462181,48.834817;2.786392,48.933045;2.017085,48.961870;2.457554,48.649982;2.324789,48.858934;2.852601,49.003076;2.135109,48.886197;2.109160,49.108887;2.240707,48.808788;2.466768,48.781755;2.196036,48.834420;2.756066,48.973503;2.113309,48.870182;2.342830,48.681043;2.917997,48.933437;2.014107,48.778912;2.810260,48.903652;1.991925,48.975538;2.468793,48.607126;2.139921,49.025524;2.144747,48.947780;2.103148,48.752206;2.283563,48.886750;2.420926,48.535144;2.415080,48.707081;2.502425,48.552848;2.437480,48.533736;2.462759,48.848526
2.015538,49.070104;2.546325,48.770766;2.556790,48.630799;2.192762,48.940713;2.443740,48.554789;2.157713,48.843187;2.415671,48.648063;2.855785,49.041127;2.029912,48.859601;2.160506,48.807653;2.885027,48.923269;2.101191,49.012875;2.065331,49.109945;2.140063,49.052646;2.925981,48.878591;2.233899,48.813544;2.840515,48.880227;2.513283,48.824247;2.550461,48.669780;2.237505,48.814378;2.772836,49.010584;2.342305,48.883838;2.509856,48.701551;2.487371,48.709639;2.017084,48.833215;2.504828,48.702289;2.430367,48.736742;2.110706,49.068468;2.230103,48.876533;2.238852,48.821382;2.453255,48.745085;2.556720,48.800444;2.407865,48.586709;2.879861,48.980341;2.118057,48.983438;2.500670,48.754567;2.119760,48.982678;2.180054,48.825979;2.110544,48.835133;2.412660,48.591661;2.166303,48.806713;2.147711,48.737564;1.983667,49.027998;2.916844,48.926014;2.241047,48.815498;2.183753,48.949117;2.486915,48.697124;2.952208,48.960058;2.443381,48.827569;2.302998,48.935567
2.251626,48.928599;2.136207,48.812818;3.004877,48.974442;2.197093,48.949174;2.761976,48.991314;2.529441,48.575195;2.847632,48.980647;2.546093,48.767686;2.341873,48.762886;1.977169,49.093610;2.260230,48.873635;2.399757,48.749968;2.006173,48.829403;2.175565,48.793344;2.398493,48.584115;2.213578,48.846137;2.174561,48.744543;2.043255,48.838758;2.464831,48.752732;2.170024,48.953856;2.910518,48.880805;2.474551,48.801135;2.055034,48.872444;2.889669,49.002669;2.060398,48.802351;2.151255,48.862288;2.193834,48.929562;2.338933,48.825960;2.811270,48.970869;1.950866,49.069396;2.414318,48.539420;2.096454,49.119978;2.446816,48.700034;2.057344,48.874868;2.354865,48.725377;2.181063,48.974667;2.139304,49.036222;2.178765,48.997778;2.548750,48.621863;2.755048,48.988125;2.509783,48.575334;2.807465,48.974043;2.033352,49.041554;2.447297,48.824659;2.330476,48.620022;2.147995,48.965357;2.198720,48.922585;2.165613,49.076313;2.356824,48.615888;2.450742,48.730755
2.512374,48.666891;2.457532,48.591545;2.170891,48.972397;2.818244,48.944998;2.781504,48.936801;2.753971,48.968189;2.042718,48.824298;2.925157,49.029905;2.170748,49.032504;2.500976,48.604582;2.115168,48.841513;2.183686,49.025079;2.856892,48.904319;2.556096,48.788870;2.412020,48.571715;2.141183,49.016106;2.830079,49.008450;1.946812,49.032686;2.428117,48.614609;2.463677,48.694218;2.160561,48.866774;2.328506,48.786945;2.270283,48.900510;2.146294,48.839144;2.541478,48.779503;2.039502,48.957380;2.223659,48.951115;2.024646,49.006930;2.135808,48.869820;2.118867,48.891486;2.449546,48.850307;2.150279,48.778580;2.126285,48.893571;2.074602,48.831053;2.097602,48.871276;2.519993,48.653159;2.456195,48.732895;2.381817,48.737183;2.121631,48.878578;2.060500,48.957665;2.501215,48.851889;2.210421,48.948139;2.454999,48.816982;2.964995,48.975623;2.388974,48.763912;2.046374,48.740025;2.956818,49.002889;2.126628,48.728235;2.113685,49.030496;2.466586,48.609195
2.993712,48.950064;2.140456,48.738911;2.063904,48.821706;2.107576,48.897465;2.388628,48.548398;2.113436,48.882394;2.464111,48.660726;2.145159,48.859672;2.371553,48.709760;2.040723,48.797801;2.189681,49.023658;2.070685,48.757479;2.924977,48.901191;2.021896,49.074633;2.250217,48.931228;2.544493,48.731218;2.490908,48.707204;2.037114,49.031154;2.434899,48.805593;2.543767,48.613843;2.072074,49.044731;2.440894,48.808404;2.186482,48.804096;2.248223,48.921407;2.479621,48.566223;2.073385,48.832846;2.191486,49.070746;2.921072,48.964897;2.526495,48.676874;2.927165,48.992927;2.897447,48.892004;2.986772,48.933985;1.980848,49.039341;2.194495,48.875407;2.787615,48.976885;2.350044,48.811320;2.258070,48.808173;2.332808,48.813693;2.016220,49.048431;2.452854,48.539759;2.212438,48.930558;2.104953,48.880554;2.510519,48.736426;2.401464,48.539603;2.266896,48.898018;2.264784,48.900558;2.463988,48.537026;2.983264,48.922031;1.986129,48.990374;2.527164,48.742212
2.360113,48.720360;2.841795,48.882435;2.507717,48.669347;2.501423,48.679907;2.428616,48.589730;2.478254,48.704414;2.195684,49.072221;2.146506,49.009434;2.393703,48.843673;2.121603,48.873277;2.049037,49.036814;2.120330,48.831451;2.766255,48.910720;2.421138,48.720429;2.123057,48.836924;2.176506,48.860505;2.259482,48.835437;1.997957,48.990273;2.580049,48.627426;2.499461,48.851186;2.385997,48.838158;2.806298,48.942000;2.141379,48.788466;2.446865,48.541406;2.199305,48.923466;2.439190,48.547462;2.964791,48.935947;2.181701,48.839394;2.022511,48.781589;2.207534,48.804781;2.321376,48.915081;2.855204,49.005702;2.384370,48.647902;2.865512,49.010520;2.188007,49.027032;2.076141,49.124283;2.382500,48.765475;2.313672,48.897142;2.375179,48.700838;1.999940,49.000115;2.792695,49.006373;2.073347,48.731272;2.400829,48.844343;2.497628,48.764054;2.872034,48.902746;2.162852,48.952620;2.129707,48.717094;2.128617,49.089378;2.080375,48.733917;2.252471,48.867097
1.995480,48.810724;2.135504,48.967929;2.078160,48.961360;2.128318,49.053507;2.082227,48.907284;2.189568,48.898856;1.996495,49.011978;2.458989,48.784014;2.487252,48.827010;2.376223,48.753379;2.504753,48.639447;2.377606,48.625486;2.104975,48.931224;2.183066,48.793619;2.079164,48.906238;2.869690,49.047661;2.879704,49.009709;2.409140,48.781968;2.104003,48.966187;2.471993,48.693351;2.422736,48.801254;2.560446,48.583914;2.421828,48.860000;2.505937,48.660940;2.145216,48.906306;2.010111,49.095548;2.470715,48.702453;2.474414,48.651305;2.337603,48.590552;2.211672,48.949223;2.925276,49.019790;2.197655,48.866142;2.105818,48.743813;2.396624,48.743821;2.862316,49.008064;2.417402,48.840440;2.148474,48.983866;2.166365,49.038263;2.910453,48.887607;2.150818,48.797968;2.236784,48.811690;2.155193,48.791404;2.958495,49.025476;2.945451,48.924683;2.180484,49.043813;2.136723,48.876987;2.375578,48.831527;2.165088,48.841264;2.239837,48.787490;2.970725,48.945550
2.424987,48.683550;2.108236,48.890614;2.057008,49.039128;2.831543,48.939970;2.392713,48.592108;2.041904,48.802057;2.190205,48.808956;2.103968,48.860015;2.574008,48.792582;2.119522,49.097836;2.098955,48.732917;2.500563,48.829103;1.997635,49.004324;2.929328,48.959866;2.415051,48.787277;2.366324,48.601502;2.234734,48.748472;2.488112,48.688513;2.037410,49.054362;2.568767,48.749323;2.203834,48.872770;2.394461,48.677302;2.570642,48.747631;2.132971,48.776505;2.406572,48.850613;2.276402,48.915979;2.114468,48.903330;2.174687,48.952855;2.157426,48.774313;2.512737,48.813998;2.124595,49.067477;2.179466,48.896303;2.192043,49.057139;2.463509,48.645325;2.013584,48.976736;2.833570,48.988711;2.102337,48.862237;2.882313,49.045808;2.450013,48.601790;2.148027,48.793663;2.176066,48.891323;2.365109,48.747919;2.542370,48.833168;2.942730,48.991111;2.535215,48.593427;2.882048,48.974458;2.980007,49.011485;2.156850,49.057171;3.001254,48.966089;2.269244,48.942566
2.363372,48.564237;2.393316,48.754032;2.123616,48.924390;2.797206,48.928616;2.899675,48.932400;2.897833,48.944752;2.106226,48.804513;2.320786,48.761863;2.885114,49.029931;2.808527,48.961468;2.253573,48.795889;2.194158,48.778010;2.366572,48.705235;2.149168,48.817764;2.312752,48.927582;2.091957,48.782081;2.463100,48.617987;2.107177,48.999363;2.385723,48.696131;2.240617,48.973406;1.980853,49.003418;2.814413,48.939093;2.407687,48.729771;1.961753,49.048992;2.110510,48.977208;2.015688,49.011309;2.503756,48.667701;2.505518,48.571981;2.538369,48.721114;2.260977,48.965417;2.323377,48.814313;2.211100,48.944143;2.392257,48.706530;2.190021,48.749644;2.046638,48.760677;2.126597,48.876396;2.102759,49.047498;2.074707,48.793651;2.346005,48.606661;2.930653,48.958838;2.344471,48.822837;2.198409,48.903293;2.952897,48.971975;2.486288,48.810402;2.120576,48.818123;2.410082,48.586066;2.122325,48.809733;2.129026,49.094755;2.412158,48.638919;2.134802,48.999941
2.157275,49.086828;2.021252,49.063145;2.143430,48.984991;2.107229,48.790817;2.107174,48.887663;2.122953,48.857911;2.388083,48.747321;2.330366,48.640435;2.120901,48.829971;2.098633,48.788951;2.201442,48.812207;2.843291,48.946751;2.465113,48.765196;2.294352,48.931956;2.215019,48.739043;1.995569,48.965145;2.409449,48.746097;2.391493,48.610384;2.109645,48.715899;2.416247,48.843165;2.365066,48.613532;2.210479,48.758564;2.359915,48.555498;2.475570,48.852272;2.518123,48.852500;2.045187,48.827588;2.127840,48.897758;2.476887,48.697826;2.207291,48.932028;2.799776,48.918056;2.102536,49.066671;2.389141,48.699466;2.511189,48.626875;2.808577,49.036986;2.515439,48.724963;2.021850,48.770515;2.420361,48.838890;2.315158,48.642943;2.116315,48.887151;2.938460,49.025606;2.857035,49.007914;2.891151,49.024067;2.013094,49.008063;2.146036,49.010985;2.842580,49.031670;2.936411,48.996002;2.258871,48.882298;2.383920,48.682423;2.020737,49.099921;2.104067,48.800192
2.830897,48.952968;2.866389,49.034290;2.948959,48.931652;2.095152,49.021799;2.496801,48.801888;2.028685,48.791434;2.784005,48.995084;2.518577,48.644260;2.042563,48.814532;2.182516,48.881361;2.325124,48.858304;2.468184,48.691773;2.823940,48.935526;1.992792,49.035168;2.095300,48.756390;2.056471,48.760170;2.321619,48.781678;2.490573,48.818576;2.421262,48.681643;2.130824,48.853706;2.442854,48.683217;2.171483,48.870786;2.252704,48.851991;2.070682,48.955992;2.966204,48.985824;2.544787,48.738061;2.110224,49.085346;2.498393,48.575531;2.362164,48.709140;2.130234,48.722177;2.151620,48.923733;2.463443,48.600777;2.458117,48.810666;2.147990,48.902772;2.062539,49.045123;2.186450,48.881957;2.176175,48.836685;2.858318,48.934653;2.227825,48.811873;2.968481,49.012612;2.152649,48.994200;2.566279,48.615432;2.377950,48.638322;2.529294,48.573319;2.383803,48.730726;2.461155,48.862562;2.039914,48.951161;2.024855,49.016860;2.237865,48.977889;2.079064,48.776527
